minute,ticks,fps,max_age_ms,stalls_gt_120ms,stalls_gt_1000ms,rx_packets
0,30,60.043,49,0,0,50885
1,30,59.94,57,0,0,102369
2,29,59.533,57,0,0,152457
3,30,59.946,53,0,0,204326
4,30,59.55,56,0,0,256384
5,30,59.212,157,1,0,307153
6,30,59.605,46,0,0,358549
7,30,59.917,58,0,0,409575
8,30,59.432,102,0,0,460780
9,29,59.825,50,0,0,510919
10,30,59.546,86,0,0,562648
11,30,59.279,67,0,0,613679
12,30,58.667,55,0,0,664266
13,30,59.959,51,0,0,714846
14,30,59.488,87,0,0,765958
15,30,59.989,56,0,0,817347
16,30,59.552,80,0,0,868590
17,30,59.629,66,0,0,919827
18,29,59.327,145,1,0,969042
19,30,59.992,85,0,0,1019957
20,30,59.668,132,1,0,1070875
21,30,59.818,69,0,0,1121781
22,30,59.651,117,0,0,1172236
23,30,59.611,69,0,0,1222481
24,30,59.24,65,0,0,1272626
25,30,59.955,73,0,0,1323269
26,30,59.362,58,0,0,1373868
27,29,59.687,45,0,0,1423238
28,30,59.333,118,0,0,1474109
29,30,59.679,32,0,0,1524814
30,3,59.482,15,0,0,1529889
