minute,cpu_temp_c,gpu_temp_c,gpu_power_w,load1,mem_avail_kb,ra_rss_kb,ra_anon_kb,ra_file_kb,ra_shmem_kb,ra_swap_kb,ra_vsize_kb,comp_rss_kb,comp_anon_kb,comp_threads,enc_rss_kb,enc_anon_kb,hb_log_bytes,rec_log_bytes,archive_files,recovery_state,restarts,fec_groups,fec_send_errors
16.02,57.5,46.0,23.0,2.63427734375,7909616,261696,68472,191012,2212,0,2541460,45588,33188,6,120552,27968,1723277,14933,0,PLAYING,0,127415,0
16.52,57.375,48.0,24.0,2.50927734375,7915164,261696,68472,191012,2212,0,2542680,45588,33188,6,120552,27968,1727096,14933,0,PLAYING,0,131469,0
17.02,57.25,46.0,22.0,2.22265625,7906336,261696,68472,191012,2212,0,2544728,46528,34128,6,120552,27968,1730926,14933,0,PLAYING,0,135414,0
17.52,56.625,46.0,20.0,2.5458984375,7891916,261692,68472,191012,2208,0,2542736,46612,34212,6,120552,27968,1734760,14933,0,PLAYING,0,139464,0
18.02,57.5,46.0,24.0,2.32958984375,7899720,261696,68472,191012,2212,0,2542680,46612,34212,6,120552,27968,1738594,14933,0,PLAYING,0,143482,0
18.52,57.625,46.0,23.0,1.9951171875,7900148,261696,68472,191012,2212,0,2541460,46612,34212,6,120552,27968,1742426,14933,0,PLAYING,0,147593,0
19.02,56.375,46.0,23.0,2.173828125,7899424,261636,68472,191012,2152,0,2537420,46728,34328,6,120576,27992,1746261,14933,0,PLAYING,0,151452,0
19.52,56.375,47.0,25.0,1.71044921875,7895612,261672,68472,191012,2188,0,2539468,46728,34328,6,120576,27992,1750095,14933,0,PLAYING,0,155395,0
20.02,56.25,46.0,20.0,1.56298828125,7900456,261672,68472,191012,2188,0,2539468,46736,34336,6,120576,27992,1753680,14933,0,PLAYING,0,159443,0
20.52,56.25,46.0,22.0,1.6875,7893320,261672,68472,191012,2188,0,2539468,46840,34440,6,120576,27992,1757526,14933,0,PLAYING,0,163485,0
21.02,57.0,46.0,23.0,1.93310546875,7900816,261696,68472,191012,2212,0,2541460,46864,34464,6,120576,27992,1761377,14933,0,PLAYING,0,167579,0
21.52,56.375,45.0,24.0,1.95556640625,7907428,261696,68472,191012,2212,0,2543508,46864,34464,6,120576,27992,1765225,14933,0,PLAYING,0,171458,0
22.02,57.5,45.0,24.0,1.92529296875,7901620,261696,68472,191012,2212,0,2541460,46864,34464,6,120576,27992,1769073,14933,0,PLAYING,0,175295,0
22.52,57.375,46.0,20.0,2.03173828125,7899708,261696,68472,191012,2212,0,2537812,46864,34464,6,120576,27992,1772923,14933,0,PLAYING,0,179187,0
23.02,57.625,46.0,24.0,1.92333984375,7897860,261696,68472,191012,2212,0,2544728,46868,34468,6,120576,27992,1776769,14933,0,PLAYING,0,183255,0
23.52,56.375,46.0,25.0,1.84423828125,7896508,261664,68472,191012,2180,0,2543564,46872,34472,6,120576,27992,1780619,14933,0,PLAYING,0,187198,0
24.02,57.125,47.0,24.0,1.77099609375,7892044,261696,68472,191012,2212,0,2541460,46884,34484,6,120576,27992,1784469,14933,0,PLAYING,0,191343,0
24.53,56.875,46.0,20.0,1.67236328125,7886072,261696,68472,191012,2212,0,2547660,46884,34484,6,120576,27992,1788318,14933,0,PLAYING,0,195354,0
25.03,57.0,48.0,26.0,1.5263671875,7901132,261696,68472,191012,2212,0,2544728,46884,34484,6,120576,27992,1792163,14933,0,PLAYING,0,199366,0
25.53,56.0,46.0,19.0,2.18603515625,7891744,261672,68472,191012,2188,0,2539468,46884,34484,6,120576,27992,1796011,14933,0,PLAYING,0,203258,0
26.03,56.25,46.0,21.0,1.9931640625,7895988,261672,68472,191012,2188,0,2539468,46884,34484,6,120576,27992,1799855,14933,0,PLAYING,0,207283,0
26.53,55.875,46.0,20.0,1.94091796875,7891288,261672,68472,191012,2188,0,2539468,46884,34484,6,120576,27992,1803703,14933,0,PLAYING,0,211341,0
27.03,56.375,47.0,26.0,1.6220703125,7898788,261696,68472,191012,2212,0,2544728,46896,34496,6,120576,27992,1807554,14933,0,PLAYING,0,215412,0
27.53,56.5,46.0,23.0,2.06689453125,7895896,261696,68472,191012,2212,0,2539032,46896,34496,6,120576,27992,1811400,14933,0,PLAYING,0,219341,0
28.03,57.125,47.0,22.0,2.49169921875,7896340,261696,68472,191012,2212,0,2541460,46896,34496,6,120576,27992,1815256,14933,0,PLAYING,0,223163,0
28.53,57.375,47.0,23.0,2.6787109375,7879200,262048,68824,191012,2212,0,2558196,46896,34496,6,120576,27992,1819134,14933,0,PLAYING,0,227021,0
29.03,57.25,46.0,24.0,2.14697265625,7899448,262048,68824,191012,2212,0,2542640,46896,34496,6,120576,27992,1823011,14933,0,PLAYING,0,231077,0
29.53,56.125,46.0,20.0,2.162109375,7896456,261976,68824,191012,2140,0,2539820,46896,34496,6,120576,27992,1826887,14933,0,PLAYING,0,234965,0
30.03,56.625,45.0,25.0,1.9814453125,7829940,262048,68824,191012,2212,0,2543916,46896,34496,6,120576,27992,1830766,14933,0,PLAYING,0,239131,0
30.53,57.125,45.0,20.0,2.0849609375,7860284,262048,68824,191012,2212,0,2539380,46896,34496,6,120576,27992,1834644,14933,0,PLAYING,0,243128,0
31.03,57.5,46.0,22.0,1.8916015625,7808244,262048,68824,191012,2212,0,2547184,46896,34496,6,120576,27992,1838521,14933,0,PLAYING,0,247189,0
31.53,56.25,46.0,25.0,2.53857421875,7806296,262024,68824,191012,2188,0,2539820,46896,34496,6,120576,27992,1842396,14933,0,PLAYING,0,251073,0
32.03,56.0,46.0,25.0,2.3505859375,7809040,262024,68824,191012,2188,0,2539820,46896,34496,6,120576,27992,1846274,14933,0,PLAYING,0,255078,0
32.53,55.875,45.0,24.0,2.2333984375,7836788,262024,68824,191012,2188,0,2539820,46896,34496,6,120576,27992,1850153,14933,0,PLAYING,0,259138,0
33.03,55.875,45.0,21.0,1.91845703125,7838720,262048,68824,191012,2212,0,2545964,46932,34532,6,120576,27992,1854031,14933,0,PLAYING,0,263224,0
33.53,56.75,45.0,24.0,1.97216796875,7846936,262048,68824,191012,2212,0,2547184,46932,34532,6,120576,27992,1857656,14933,0,PLAYING,0,267211,0
34.03,56.875,45.0,23.0,1.7353515625,7858800,262048,68824,191012,2212,0,2545080,46932,34532,6,120576,27992,1861547,14933,0,PLAYING,0,271079,0
34.53,57.125,46.0,25.0,1.57080078125,7849092,262048,68824,191012,2212,0,2557368,46936,34536,6,120576,27992,1865440,14933,0,PLAYING,0,274953,0
35.04,56.625,46.0,25.0,1.71435546875,7862624,262048,68824,191012,2212,0,2544248,46936,34536,6,120576,27992,1869334,14933,0,PLAYING,0,278981,0
35.54,56.0,45.0,20.0,1.57373046875,7860176,261936,68824,191012,2100,0,2549624,46936,34536,6,120576,27992,1873228,14933,0,PLAYING,0,282886,0
36.04,56.25,45.0,25.0,1.54296875,7888336,262048,68824,191012,2212,0,2549232,46940,34540,6,120576,27992,1877117,14933,0,PLAYING,0,287050,0
36.54,57.375,45.0,24.0,1.71923828125,7880152,262048,68824,191012,2212,0,2541812,46940,34540,6,120576,27992,1881007,14933,0,PLAYING,0,291028,0
