minute,cpu_temp_c,gpu_temp_c,gpu_power_w,load1,enc_cpu_pct,comp_cpu_pct,enc_rss_kb,comp_rss_kb,comp_threads,ra_rss_kb,hb_log_bytes,rec_log_bytes,archive_bytes,archive_files,recovery_state,restarts,fec_groups,fec_send_errors,fec_rtp_packets
0.0,44.0,40.0,24.0,0.80517578125,None,None,120052,45048,5,151856,1372765,14530,0,0,ENDED,0,337,0,2244
0.5,50.25,41.0,22.0,1.474609375,26.5,23.6,120084,49560,6,158272,1376228,14665,0,0,PLAYING,0,4040,0,27505
1.0,52.375,43.0,25.0,1.62060546875,26.5,23.8,120236,49560,6,168592,1379973,14665,0,0,PLAYING,0,8028,0,51912
1.5,53.25,43.0,24.0,1.76953125,26.4,23.3,120308,49560,6,178960,1383718,14665,0,0,PLAYING,0,12088,0,76476
2.0,54.0,44.0,23.0,1.7734375,26.5,23.4,120448,49560,6,188744,1387478,14665,0,0,PLAYING,0,16106,0,100914
2.5,56.125,45.0,25.0,1.6103515625,26.2,23.6,120504,49560,6,198948,1391253,14665,0,0,PLAYING,0,20136,0,125341
3.0,55.375,45.0,24.0,1.56298828125,26.4,23.2,120504,49560,6,206380,1395039,14665,0,0,PLAYING,0,24052,0,149922
3.5,56.5,46.0,24.0,1.712890625,27.3,22.9,120504,49560,6,217656,1398851,14665,0,0,PLAYING,0,27868,0,174957
4.0,57.125,46.0,22.0,2.12841796875,26.8,23.5,120504,49560,6,227968,1402669,14665,0,0,PLAYING,0,31703,0,199778
4.5,57.5,46.0,24.0,2.4462890625,26.6,23.5,120504,49560,6,233664,1406484,14665,0,0,PLAYING,0,35785,0,224175
5.01,56.875,46.0,23.0,2.2001953125,26.9,24.0,120504,49560,6,240156,1410299,14665,0,0,PLAYING,0,39705,0,248766
5.51,56.5,46.0,21.0,1.98876953125,26.6,23.2,120504,49560,6,247324,1414116,14665,0,0,PLAYING,0,43785,0,273206
6.01,57.125,46.0,25.0,2.220703125,26.7,22.9,120528,49560,6,248664,1417937,14665,0,0,PLAYING,0,47836,0,297601
6.51,57.5,47.0,23.0,1.99658203125,26.9,23.2,120528,49560,6,249944,1421753,14665,0,0,PLAYING,0,51867,0,322079
7.01,56.5,46.0,24.0,1.8515625,26.4,23.8,120528,49560,6,250304,1425571,14665,0,0,PLAYING,0,55749,0,346810
7.51,56.75,46.0,25.0,2.125,26.4,23.5,120528,49560,6,250304,1429135,14665,0,0,PLAYING,0,59759,0,371365
8.01,56.375,47.0,23.0,1.7431640625,26.5,23.1,120528,49560,6,250304,1432954,14665,0,0,PLAYING,0,63800,0,395763
8.51,56.5,46.0,20.0,1.98974609375,26.4,23.3,120528,49560,6,250388,1436772,14665,0,0,PLAYING,0,67853,0,420092
9.01,57.875,47.0,23.0,1.857421875,26.9,23.5,120528,49560,6,250520,1440589,14665,0,0,PLAYING,0,71868,0,444700
9.51,57.625,47.0,24.0,1.63916015625,26.6,24.0,120528,49560,6,250520,1444405,14665,0,0,PLAYING,0,75709,0,469362
10.01,58.125,46.0,23.0,1.5654296875,26.7,24.1,120528,49560,6,250520,1448225,14665,0,0,PLAYING,0,79545,0,494239
10.51,57.625,46.0,20.0,1.34130859375,26.6,23.7,120528,49560,6,250520,1452045,14665,0,0,PLAYING,0,83445,0,518748
11.01,58.0,48.0,26.0,1.6455078125,26.9,23.5,120528,49560,6,258192,1455862,14665,0,0,PLAYING,0,87466,0,543324
11.51,56.875,47.0,20.0,1.658203125,27.3,23.5,120528,49560,6,258148,1459679,14665,0,0,PLAYING,0,91480,0,567879
12.01,57.75,46.0,21.0,1.60302734375,27.1,23.5,120528,49560,6,258512,1463497,14665,0,0,PLAYING,0,95558,0,592217
12.51,57.75,46.0,20.0,2.1865234375,26.4,23.4,120528,49560,6,259600,1467315,14665,0,0,PLAYING,0,99669,0,616524
13.01,56.625,46.0,20.0,2.05126953125,26.7,23.5,120536,49560,6,259576,1471133,14665,0,0,PLAYING,0,103555,0,641366
13.51,56.625,47.0,24.0,2.34033203125,26.7,24.0,120536,49560,6,259576,1474950,14665,0,0,PLAYING,0,107557,0,665780
14.01,56.375,46.0,23.0,2.10791015625,26.8,23.1,120536,49560,6,259576,1478770,14665,0,0,PLAYING,0,111605,0,690201
14.51,56.625,45.0,23.0,2.31982421875,26.2,23.5,120536,49560,6,259728,1482590,14665,0,0,PLAYING,0,115677,0,714776
15.02,58.625,46.0,25.0,2.1904296875,26.7,24.0,120536,49560,6,261904,1486410,14665,0,0,PLAYING,0,119735,0,739237
15.52,58.0,48.0,25.0,2.35888671875,27.0,23.9,120536,49560,6,261904,1490225,14665,0,0,PLAYING,0,123514,0,764109
16.02,58.625,47.0,22.0,2.74951171875,26.7,23.9,120536,49560,6,261904,1494040,14665,0,0,PLAYING,0,127363,0,788932
16.52,58.125,47.0,24.0,2.5517578125,27.0,23.6,120536,49560,6,261904,1497856,14665,0,0,PLAYING,0,131434,0,813375
17.02,57.25,46.0,25.0,2.2802734375,27.1,24.2,120548,49560,6,261828,1501685,14665,0,0,PLAYING,0,135332,0,837938
17.52,57.0,47.0,20.0,2.240234375,26.5,23.7,120548,49560,6,261904,1505518,14665,0,0,PLAYING,0,139518,0,862294
18.02,57.75,47.0,24.0,2.08056640625,26.9,24.1,120564,49560,6,261904,1509351,14665,0,0,PLAYING,0,143506,0,887033
18.52,58.125,48.0,24.0,2.01904296875,26.7,23.7,120564,49560,6,261904,1513182,14665,0,0,PLAYING,0,147586,0,911267
19.02,57.125,48.0,25.0,1.89501953125,26.7,23.7,120564,49560,6,261868,1516758,14665,0,0,PLAYING,0,151437,0,936053
19.52,56.5,48.0,23.0,1.95654296875,26.4,23.8,120564,49560,6,261880,1520592,14665,0,0,PLAYING,0,155423,0,960612
20.02,56.625,47.0,22.0,2.7333984375,26.6,23.5,120564,49560,6,261880,1524437,14665,0,0,PLAYING,0,159455,0,984950
20.52,56.5,47.0,23.0,2.54296875,26.8,23.7,120564,49560,6,261848,1528288,14665,0,0,PLAYING,0,163463,0,1009481
21.02,58.0,47.0,24.0,2.9072265625,26.9,23.6,120564,49560,6,261904,1532135,14665,0,0,PLAYING,0,167508,0,1033828
21.52,57.375,47.0,24.0,2.48583984375,27.2,23.7,120564,49560,6,261904,1535984,14665,0,0,PLAYING,0,171391,0,1058693
22.02,57.75,47.0,23.0,2.0927734375,26.7,24.1,120564,49560,6,261904,1539831,14665,0,0,PLAYING,0,175227,0,1083539
22.52,57.375,46.0,24.0,1.97509765625,26.5,23.9,120564,49560,6,261904,1543673,14665,0,0,PLAYING,0,179173,0,1108285
