minute,ticks,fps,max_age_ms,stalls_gt_120ms,stalls_gt_1000ms,rx_packets
0,30,59.898,69,0,0,50451
1,30,59.918,64,0,0,101057
2,29,59.17,59,0,0,150060
3,30,59.931,57,0,0,201136
4,30,59.351,82,0,0,252355
5,30,59.352,70,0,0,302877
6,30,59.549,66,0,0,353728
7,30,59.902,74,0,0,403763
8,30,59.538,47,0,0,454306
9,29,59.519,68,0,0,503937
10,30,59.25,67,0,0,555185
11,30,59.664,65,0,0,607100
12,30,59.412,70,0,0,658343
13,30,59.828,117,0,0,710222
14,30,59.632,47,0,0,760959
15,30,59.895,61,0,0,812151
16,30,59.561,52,0,0,863537
17,29,59.643,63,0,0,912812
18,30,59.569,71,0,0,963646
19,30,59.995,52,0,0,1014200
20,30,59.537,69,0,0,1065171
21,30,59.811,40,0,0,1116916
22,30,59.691,72,0,0,1168016
23,30,59.662,69,0,0,1219244
24,30,59.533,56,0,0,1269906
25,30,59.929,47,0,0,1320924
26,30,59.726,86,0,0,1371866
27,29,59.812,45,0,0,1421200
28,30,59.665,72,0,0,1472264
29,30,59.638,64,0,0,1523340
30,3,60.214,64,0,0,1528361
