minute,cpu_temp_c,gpu_temp_c,gpu_power_w,load1,enc_cpu_pct,comp_cpu_pct,enc_rss_kb,comp_rss_kb,comp_threads,ra_rss_kb,hb_log_bytes,rec_log_bytes,archive_bytes,archive_files,recovery_state,restarts,fec_groups,fec_send_errors,fec_rtp_packets
0.0,44.0,40.0,22.0,0.86865234375,None,None,120204,46428,5,151476,1143522,14262,0,0,ENDED,0,331,0,2213
0.5,50.625,42.0,23.0,2.021484375,26.9,23.6,120232,51080,6,158260,1146989,14397,0,0,PLAYING,0,4050,0,27447
1.0,53.0,43.0,25.0,1.93359375,26.7,23.3,120408,51080,6,168576,1150734,14397,0,0,PLAYING,0,8041,0,51908
1.5,53.875,44.0,24.0,2.88525390625,27.2,23.5,120476,51080,6,178944,1154480,14397,0,0,PLAYING,0,12090,0,76361
2.0,54.5,45.0,21.0,2.34130859375,27.0,23.4,120616,51080,6,188412,1158235,14397,0,0,PLAYING,0,16094,0,100763
2.5,56.25,46.0,24.0,2.01123046875,26.7,23.1,120644,51080,6,198960,1162007,14397,0,0,PLAYING,0,20154,0,125363
3.0,56.0,45.0,22.0,2.63134765625,26.5,24.2,120684,51080,6,206384,1165798,14397,0,0,PLAYING,0,24058,0,149980
3.5,57.25,46.0,22.0,2.56298828125,26.7,24.4,120684,51080,6,216948,1169610,14397,0,0,PLAYING,0,27880,0,175022
4.0,57.375,46.0,24.0,2.07666015625,26.8,23.9,120684,51080,6,227260,1173431,14397,0,0,PLAYING,0,31728,0,199883
4.5,57.875,47.0,22.0,2.04443359375,26.9,23.9,120684,51080,6,232956,1177247,14397,0,0,PLAYING,0,35811,0,224256
5.01,56.75,47.0,25.0,1.83251953125,26.7,23.6,120684,51080,6,239128,1181064,14397,0,0,PLAYING,0,39712,0,248840
5.51,56.75,46.0,20.0,1.90185546875,26.6,23.2,120684,51080,6,246616,1184626,14397,0,0,PLAYING,0,43834,0,273276
6.01,57.75,46.0,20.0,1.95166015625,26.2,23.8,120696,51080,6,247636,1188698,14397,0,0,PLAYING,0,47863,0,297468
6.51,58.125,47.0,25.0,1.76513671875,26.7,23.8,120700,51080,6,248916,1192516,14397,0,0,PLAYING,0,51888,0,322100
7.01,56.875,46.0,24.0,1.8095703125,26.6,23.9,120708,51080,6,249276,1196334,14397,0,0,PLAYING,0,55779,0,346814
7.51,56.75,47.0,24.0,1.56982421875,26.8,23.5,120708,51080,6,249276,1200156,14397,0,0,PLAYING,0,59779,0,371276
8.01,56.625,46.0,25.0,1.53271484375,26.9,23.3,120708,51080,6,249276,1203971,14397,0,0,PLAYING,0,63837,0,395772
8.51,56.875,46.0,22.0,1.51025390625,26.8,23.3,120708,51080,6,249492,1207536,14397,0,0,PLAYING,0,67903,0,420155
9.01,58.25,48.0,24.0,1.9658203125,27.1,23.4,120708,51080,6,249492,1211357,14397,0,0,PLAYING,0,71925,0,444675
9.51,57.625,47.0,24.0,2.14306640625,26.4,23.7,120708,51080,6,249492,1215175,14397,0,0,PLAYING,0,75770,0,469391
10.01,58.0,47.0,23.0,2.1962890625,26.8,24.2,120708,51080,6,249492,1218991,14397,0,0,PLAYING,0,79612,0,494223
10.51,57.75,47.0,20.0,1.986328125,26.9,23.9,120708,51080,6,249972,1222813,14397,0,0,PLAYING,0,83513,0,518862
11.01,58.25,47.0,24.0,1.87109375,27.1,24.0,120708,51080,6,257516,1226629,14397,0,0,PLAYING,0,87522,0,543445
11.51,57.125,46.0,23.0,1.86474609375,26.7,23.7,120708,51080,6,257480,1230448,14397,0,0,PLAYING,0,91543,0,568000
12.01,57.875,46.0,20.0,1.90283203125,26.5,23.3,120708,51080,6,257836,1234265,14397,0,0,PLAYING,0,95620,0,592341
12.51,57.75,47.0,23.0,1.8740234375,26.9,23.5,120708,51080,6,258924,1238085,14397,0,0,PLAYING,0,99698,0,616437
13.01,56.5,47.0,24.0,1.78857421875,26.5,23.7,120708,51080,6,258900,1241903,14397,0,0,PLAYING,0,103576,0,641342
13.51,56.5,46.0,19.0,2.35009765625,26.4,23.3,120708,51080,6,258900,1245720,14397,0,0,PLAYING,0,107557,0,665675
14.01,56.75,47.0,21.0,2.12109375,27.1,23.8,120708,51080,6,258900,1249538,14397,0,0,PLAYING,0,111632,0,690308
14.51,57.0,47.0,20.0,2.05078125,26.8,23.7,120708,51080,6,259052,1253357,14397,0,0,PLAYING,0,115677,0,714603
15.02,57.375,47.0,22.0,1.984375,26.5,23.8,120708,51080,6,261228,1257178,14397,0,0,PLAYING,0,119711,0,739080
15.52,58.25,48.0,24.0,2.15771484375,27.4,23.9,120708,51080,6,261228,1260993,14397,0,0,PLAYING,0,123521,0,764167
16.02,58.25,48.0,24.0,2.5634765625,26.6,24.0,120708,51080,6,261580,1264810,14397,0,0,PLAYING,0,127380,0,788996
16.52,58.375,47.0,25.0,2.2197265625,26.9,23.5,120708,51080,6,261580,1268369,14397,0,0,PLAYING,0,131445,0,813411
17.02,57.875,47.0,21.0,2.2705078125,26.2,23.9,120708,51080,6,261512,1272452,14397,0,0,PLAYING,0,135370,0,838258
17.52,57.25,47.0,23.0,2.22021484375,26.6,23.1,120708,51080,6,261580,1276287,14397,0,0,PLAYING,0,139527,0,862274
18.02,57.75,46.0,24.0,2.14404296875,26.9,23.8,120720,51080,6,261580,1280116,14397,0,0,PLAYING,0,143469,0,886795
18.52,58.25,47.0,23.0,2.05078125,26.4,23.5,120720,51080,6,261580,1283946,14397,0,0,PLAYING,0,147575,0,911274
19.02,57.0,46.0,24.0,2.0400390625,27.0,23.7,120720,51080,6,261544,1287776,14397,0,0,PLAYING,0,151440,0,936069
19.52,56.875,47.0,24.0,1.68701171875,26.5,23.5,120720,51080,6,261556,1291354,14397,0,0,PLAYING,0,155438,0,960575
20.02,56.875,48.0,20.0,1.9921875,27.0,23.4,120720,51080,6,261556,1295195,14397,0,0,PLAYING,0,159480,0,984974
20.52,56.875,47.0,23.0,1.96630859375,26.7,23.8,120720,51080,6,261532,1299041,14397,0,0,PLAYING,0,163527,0,1009523
21.02,58.125,47.0,24.0,1.85205078125,25.9,24.0,120720,51080,6,261580,1302891,14397,0,0,PLAYING,0,167589,0,1033924
21.52,57.5,47.0,21.0,1.96240234375,26.7,23.8,120724,51080,6,261580,1306735,14397,0,0,PLAYING,0,171457,0,1058711
22.02,58.0,47.0,22.0,2.12939453125,26.6,24.1,120724,51080,6,261580,1310583,14397,0,0,PLAYING,0,175299,0,1083545
22.52,57.75,47.0,23.0,2.123046875,26.5,23.7,120724,51080,6,261580,1314430,14397,0,0,PLAYING,0,179265,0,1108186
23.02,58.625,48.0,24.0,2.2490234375,27.4,24.1,120724,51080,6,261580,1318279,14397,0,0,PLAYING,0,183288,0,1132719
23.52,57.375,47.0,20.0,2.353515625,26.6,23.8,120724,51080,6,261556,1322127,14397,0,0,PLAYING,0,187275,0,1157266
24.02,58.5,47.0,24.0,2.64794921875,26.4,23.7,120724,51080,6,261580,1325974,14397,0,0,PLAYING,0,191399,0,1181619
24.52,57.75,46.0,24.0,2.435546875,26.7,23.6,120724,51080,6,261580,1329822,14397,0,0,PLAYING,0,195508,0,1205929
25.02,57.75,47.0,20.0,2.33203125,27.2,23.8,120724,51080,6,261580,1333669,14397,0,0,PLAYING,0,199413,0,1230451
25.53,57.125,47.0,20.0,2.36572265625,26.5,23.6,120724,51080,6,261556,1337515,14397,0,0,PLAYING,0,203324,0,1255454
26.03,57.25,47.0,22.0,2.1123046875,26.5,23.6,120724,51080,6,261556,1341363,14397,0,0,PLAYING,0,207349,0,1279776
26.53,56.875,47.0,19.0,2.59228515625,26.9,23.7,120724,51080,6,261556,1345211,14397,0,0,PLAYING,0,211390,0,1304190
27.03,57.5,47.0,23.0,2.6328125,26.7,23.7,120724,51080,6,261580,1349059,14397,0,0,PLAYING,0,215487,0,1328488
27.53,57.375,47.0,24.0,2.3876953125,26.4,23.7,120724,51080,6,261580,1352650,14397,0,0,PLAYING,0,219371,0,1353360
28.03,57.875,47.0,24.0,2.02685546875,26.6,24.2,120724,51080,6,261580,1356765,14397,0,0,PLAYING,0,223217,0,1378200
28.53,58.0,47.0,25.0,1.8447265625,26.5,23.9,120724,51080,6,261580,1360645,14397,0,0,PLAYING,0,227075,0,1403013
29.03,58.25,47.0,24.0,2.60986328125,26.6,23.8,120724,51080,6,261580,1364523,14397,0,0,PLAYING,0,231108,0,1427334
29.53,57.125,46.0,22.0,2.17919921875,26.5,24.0,120724,51080,6,261544,1368401,14397,0,0,PLAYING,0,235035,0,1451985
