run,elapsed_ms,type,jump_packets,resync_to_idr_ms,rejected_idr_aus,dropped_non_idr_aus,au_complete
CTRL,36460,ssrc_change,0,18,0,0,true
CTRL,67684,ssrc_change,0,22,0,0,true
CTRL,98849,ssrc_change,0,22,0,0,true
CTRL,130047,ssrc_change,0,24,0,0,true
