run,report,duration_ms,packets,lost_packets,forward_gap_events,max_forward_gap_packets,sequence_resyncs,ssrc_changes,discontinuities,idr_aus_rejected,non_idr_aus_dropped,packets_dropped_waiting,sequence_gap_au_drops,fec_unrecoverable_groups,max_resync_to_idr_ms,recent_fps,first_clean_idr_ms
R1,native_decoder_20260921_010028_882.json,158144,131311,122,12,27,0,0,0,0,0,0,12,2,0,53.63,577
R2,native_decoder_20260921_010755_679.json,158206,130925,51,7,26,0,0,0,0,0,0,7,1,0,65.62,577
R3,native_decoder_20260921_011115_368.json,158470,131228,228,14,47,0,0,0,0,0,0,14,3,0,63.82,607
CTRL,native_decoder_20260921_011528_474.json,161602,133309,103,12,27,4,4,4,0,0,0,12,4,24,58.63,565
