minute,ticks,fps,max_age_ms,stalls_gt_120ms,stalls_gt_1000ms,rx_packets
0,30,59.836,68,0,0,50796
1,30,59.787,72,0,0,101499
2,29,59.504,41,0,0,151053
3,30,59.94,82,0,0,202529
4,30,59.523,57,0,0,253223
5,30,59.444,118,0,0,303625
6,30,59.628,61,0,0,355307
7,30,59.985,69,0,0,406000
8,30,59.625,131,1,0,456865
9,30,59.931,87,0,0,508246
10,29,59.668,41,0,0,557695
11,30,59.688,66,0,0,608690
12,30,59.423,58,0,0,659999
13,30,60.008,48,0,0,710615
14,30,59.758,66,0,0,761529
15,30,59.95,61,0,0,812682
16,30,59.582,150,1,0,864133
17,30,59.589,44,0,0,915905
18,29,59.574,44,0,0,965595
19,30,59.914,73,0,0,1017045
20,30,59.623,53,0,0,1068364
21,30,59.799,35,0,0,1119592
22,30,59.647,133,1,0,1171686
23,30,59.474,45,0,0,1223328
24,30,59.432,49,0,0,1274728
25,30,60.0,52,0,0,1325934
26,30,59.125,152,1,0,1376653
27,29,59.42,70,0,0,1426071
28,30,59.216,67,0,0,1477026
29,30,59.482,73,0,0,1528152
30,3,59.821,29,0,0,1533318
