minute,cpu_temp_c,gpu_temp_c,gpu_power_w,load1,enc_cpu_pct,comp_cpu_pct,enc_rss_kb,comp_rss_kb,comp_threads,ra_rss_kb,hb_log_bytes,rec_log_bytes,archive_bytes,archive_files,recovery_state,restarts,fec_groups,fec_send_errors,fec_rtp_packets
0.0,42.125,38.0,24.0,0.7197265625,None,None,119924,1904,1,151736,685015,13726,0,0,ENDED,0,339,0,2259
0.5,48.125,39.0,21.0,1.3955078125,27.0,0.0,119960,1904,1,158484,688482,13861,0,0,PLAYING,0,4055,0,27474
1.0,51.0,41.0,21.0,1.55908203125,26.5,0.0,120140,1904,1,168800,692226,13861,0,0,PLAYING,0,8059,0,51997
1.5,52.0,42.0,20.0,2.11474609375,26.4,0.0,120188,1904,1,179168,695971,13861,0,0,PLAYING,0,12108,0,76474
2.0,52.75,43.0,22.0,2.171875,26.8,0.0,120344,1904,1,188636,699729,13861,0,0,PLAYING,0,16141,0,100949
2.5,55.25,45.0,26.0,2.21044921875,26.4,0.0,120368,1904,1,199208,703502,13861,0,0,PLAYING,0,20180,0,125377
3.0,54.5,44.0,23.0,2.57177734375,26.6,0.0,120368,1904,1,206632,707291,13861,0,0,PLAYING,0,24074,0,149978
3.5,56.125,45.0,23.0,2.0087890625,27.1,0.0,120368,1904,1,216820,711102,13861,0,0,PLAYING,0,27941,0,174998
4.0,56.625,46.0,25.0,1.9248046875,26.7,0.0,120368,1904,1,227132,714918,13861,0,0,PLAYING,0,31792,0,199888
4.5,57.0,45.0,24.0,1.77294921875,26.4,0.0,120396,1904,1,233180,718734,13861,0,0,PLAYING,0,35882,0,224245
5.0,56.625,45.0,23.0,1.71875,26.6,0.0,120396,1904,1,239704,722549,13861,0,0,PLAYING,0,39789,0,248872
5.51,56.5,46.0,28.0,1.568359375,26.6,0.0,120404,1904,1,247192,726365,13861,0,0,PLAYING,0,43927,0,273468
6.01,57.125,46.0,20.0,1.52197265625,26.8,0.0,120432,1904,1,248212,730185,13861,0,0,PLAYING,0,47954,0,297599
6.51,57.5,45.0,20.0,1.63232421875,26.6,0.0,120432,1904,1,249492,734004,13861,0,0,PLAYING,0,51996,0,322247
7.01,56.375,46.0,24.0,1.65673828125,26.6,0.0,120432,1904,1,249852,737824,13861,0,0,PLAYING,0,55897,0,347027
7.51,56.5,47.0,20.0,1.59228515625,26.5,0.0,120432,1904,1,249852,741639,13861,0,0,PLAYING,0,59911,0,371472
8.01,56.5,46.0,22.0,1.6259765625,26.5,0.0,120432,1904,1,249852,745458,13861,0,0,PLAYING,0,63940,0,395955
8.51,56.75,46.0,22.0,1.623046875,26.5,0.0,120432,1904,1,250068,749276,13861,0,0,PLAYING,0,67994,0,420324
9.01,58.25,47.0,25.0,1.5146484375,26.7,0.0,120432,1904,1,250068,752837,13861,0,0,PLAYING,0,72003,0,444883
9.51,57.375,47.0,23.0,1.521484375,27.2,0.0,120432,1904,1,250068,756658,13861,0,0,PLAYING,0,75876,0,469728
10.01,57.875,48.0,23.0,1.52294921875,26.8,0.0,120432,1904,1,250068,760474,13861,0,0,PLAYING,0,79738,0,494586
10.51,57.5,47.0,20.0,1.537109375,26.9,0.0,120432,1904,1,250548,764291,13861,0,0,PLAYING,0,83669,0,519280
11.01,58.5,48.0,23.0,2.33447265625,26.4,0.0,120432,1904,1,258092,768108,13861,0,0,PLAYING,0,87678,0,543716
11.51,57.125,47.0,23.0,2.29736328125,26.8,0.0,120432,1904,1,258056,771925,13861,0,0,PLAYING,0,91686,0,568219
12.01,57.75,48.0,25.0,2.11181640625,26.6,0.0,120432,1904,1,258412,775742,13861,0,0,PLAYING,0,95786,0,592638
12.51,58.0,47.0,20.0,1.935546875,27.2,0.0,120440,1904,1,259500,779561,13861,0,0,PLAYING,0,99858,0,616676
13.01,57.125,47.0,20.0,2.17138671875,26.8,0.0,120440,1904,1,259484,783376,13861,0,0,PLAYING,0,103746,0,641577
13.51,56.875,47.0,24.0,2.4423828125,27.0,0.0,120440,1904,1,259484,787195,13861,0,0,PLAYING,0,107724,0,665949
14.01,57.25,48.0,24.0,1.93017578125,26.5,0.0,120440,1904,1,259484,791012,13861,0,0,PLAYING,0,111802,0,690609
14.51,57.125,47.0,25.0,1.76318359375,26.4,0.0,120440,1904,1,259628,794833,13861,0,0,PLAYING,0,115869,0,715055
15.01,57.75,48.0,22.0,2.16845703125,26.6,0.0,120440,1904,1,261804,798649,13861,0,0,PLAYING,0,119876,0,739442
15.52,58.25,48.0,23.0,1.75927734375,26.9,0.0,120440,1904,1,261804,802470,13861,0,0,PLAYING,0,123677,0,764504
16.02,58.375,47.0,26.0,1.44775390625,27.1,0.0,120440,1904,1,261804,806288,13861,0,0,PLAYING,0,127528,0,789352
16.52,59.375,48.0,24.0,1.6806640625,26.5,0.0,120440,1904,1,261804,810107,13861,0,0,PLAYING,0,131595,0,813766
17.02,58.0,48.0,20.0,1.673828125,26.9,0.0,120440,1904,1,261736,813940,13861,0,0,PLAYING,0,135522,0,838718
17.52,57.5,47.0,20.0,2.40185546875,26.3,0.0,120440,1904,1,261804,817776,13861,0,0,PLAYING,0,139685,0,862653
18.02,58.625,47.0,22.0,2.32275390625,27.0,0.0,120440,1904,1,261804,821605,13861,0,0,PLAYING,0,143641,0,887277
18.52,58.625,48.0,25.0,1.97314453125,26.9,0.0,120440,1904,1,261804,825438,13861,0,0,PLAYING,0,147761,0,911861
19.02,57.5,48.0,20.0,2.45556640625,27.3,0.0,120440,1904,1,261768,829269,13861,0,0,PLAYING,0,151638,0,936617
19.52,57.0,47.0,23.0,2.01708984375,27.1,0.0,120440,1904,1,261780,833103,13861,0,0,PLAYING,0,155618,0,961140
20.02,57.5,47.0,24.0,3.41357421875,26.8,0.0,120440,1904,1,261780,836694,13861,0,0,PLAYING,0,159666,0,985534
20.52,57.125,48.0,24.0,2.8955078125,26.5,0.0,120440,1904,1,261756,840542,13861,0,0,PLAYING,0,163687,0,1010073
21.02,58.375,48.0,23.0,2.4677734375,26.7,0.0,120440,1904,1,261804,844391,13861,0,0,PLAYING,0,167739,0,1034450
21.52,58.0,48.0,20.0,2.3681640625,27.5,0.0,120440,1904,1,261804,848237,13861,0,0,PLAYING,0,171609,0,1059126
22.02,58.375,48.0,25.0,2.177734375,26.8,0.0,120440,1904,1,261804,852084,13861,0,0,PLAYING,0,175440,0,1083975
